Zeit;Verbrauch ;PV-Ertrag;Netzeinspeisung ;Thermische Last 
20.01. 23:00;0,016089;0;0;4,5
21.01. 00:00;0,016161;0;0;4,6
21.01. 01:00;0,016299;0;0;4,6
21.01. 02:00;0,016062;0;0;4,6
21.01. 03:00;0,16533;0;0;4,6
21.01. 04:00;0,016029;0;0;5
21.01. 05:00;0,016061;0;0;6,6
21.01. 06:00;0,20008;0;0;8,3
21.01. 07:00;0,4718;0;0;8
21.01. 08:00;0,35948;0;0;7,8
21.01. 09:00;0,016193;0,60034;0,58415;6,7
21.01. 10:00;0,016206;1,8538;1,8376;5,9
21.01. 11:00;0,016157;1,9226;1,9064;5,7
21.01. 12:00;0,016213;1,7748;1,7586;5,5
21.01. 13:00;0,16451;4,4726;4,3081;5,4
21.01. 14:00;0,016049;4,7165;4,7004;5,2
21.01. 15:00;0,016202;4,4659;4,4497;5,3
21.01. 16:00;0,016196;0,041167;0,024971;5,4
21.01. 17:00;0,73802;0;0;6,2
21.01. 18:00;1,6418;0;0;7,3
21.01. 19:00;0,18122;0;0;7
21.01. 20:00;0,10808;0;0;7
21.01. 21:00;0,34316;0;0;6,8
21.01. 22:00;0,21909;0;0;4
21.01. 23:00;0,16887;0;0;3,2
22.01. 00:00;0,016136;0;0;3
22.01. 01:00;0,016026;0;0;2,8
22.01. 02:00;0,01627;0;0;3,1
22.01. 03:00;0,015945;0;0;3,4
22.01. 04:00;0,17053;0;0;3,7
22.01. 05:00;0,016256;0;0;5,2
22.01. 06:00;0,18353;0;0;7,2
22.01. 07:00;0,78668;0;0;7
22.01. 08:00;0,1871;0;0;6,3
22.01. 09:00;0,19653;0,053167;0;5,9
22.01. 10:00;0,016231;0,026437;0,010206;6,1
22.01. 11:00;0,016179;0,1366;0,12042;6,1
22.01. 12:00;0,016082;1,4182;1,4021;5,3
22.01. 13:00;0,016083;1,5832;1,5671;5,2
22.01. 14:00;0,16916;1,8865;1,7174;5
22.01. 15:00;0,016215;1,6961;1,6799;5
22.01. 16:00;0,016239;0,029066;0,012827;5,2
22.01. 17:00;0,31298;0;0;5,1
